,time,volume,occupancy,speed
232,015852000,0,0,0
233,015922000,0,0,0
234,015953000,0,0,0
235,020023000,0,0,0
236,020054000,0,0,0
237,020124000,0,0,0
238,020155000,0,0,0
239,020155000,0,0,0
240,020255000,0,0,0
241,020326000,0,0,0
242,020356000,0,0,0
243,020426000,0,0,0
244,020456000,0,0,0
245,020526000,0,0,0
246,020526000,0,0,0
247,020828000,0,0,0
248,020859000,0,0,0
249,020930000,0,0,0
250,021000000,0,0,0
251,021031000,0,0,0
252,021101000,0,0,0
253,021131000,0,0,0
254,021202000,1,1,59
255,021232000,0,0,0
256,021302000,0,0,0
257,021333000,0,0,0
258,021403000,0,0,0
259,021434000,0,0,0
260,021504000,0,0,0
261,021535000,0,0,0
262,021605000,0,0,0
263,021636000,0,0,0
264,021706000,0,0,0
265,021737000,0,0,0
266,021807000,0,0,0
267,021837000,1,1,59
268,021907000,0,0,0
269,021938000,0,0,0
270,022008000,0,0,0
271,022039000,0,0,0
272,022109000,0,0,0
273,022140000,0,0,0
274,022210000,1,1,59
275,022241000,0,0,0
276,022311000,0,0,0
277,022342000,0,0,0
278,022413000,0,0,0
279,022443000,0,0,0
280,022513000,0,0,0
281,022544000,0,0,0
282,022614000,1,1,59
283,022644000,0,0,0
284,022714000,0,0,0
285,022744000,0,0,0
286,022814000,1,1,59
287,022845000,1,2,58
288,022915000,0,0,0
289,022945000,0,0,0
290,023015000,0,0,0
291,023046000,0,0,0
292,023117000,0,0,0
293,023147000,0,0,0
294,023217000,1,1,58
295,023247000,0,0,0
296,023318000,0,0,0
297,023349000,0,0,0
298,023419000,0,0,0
299,023449000,0,0,0
300,023519000,0,0,0
301,023549000,0,0,0
302,023620000,0,0,0
303,023650000,0,0,0
304,023720000,1,1,57
305,023751000,0,0,0
306,023821000,0,0,0
307,023851000,0,0,0
308,023922000,1,2,57
309,023952000,0,0,0
310,024023000,0,0,0
311,024053000,0,0,0
312,024124000,0,0,0
313,024154000,0,0,0
314,024225000,0,0,0
315,024255000,0,0,0
316,024326000,0,0,0
317,024356000,0,0,0
318,024427000,1,1,57
319,024457000,0,0,0
320,024457000,0,0,0
321,024558000,0,0,0
322,024628000,0,0,0
323,024658000,1,1,57
324,024729000,1,1,57
325,024759000,0,0,0
326,024830000,0,0,0
327,024901000,1,1,57
328,024932000,0,0,0
329,025002000,0,0,0
330,025033000,0,0,0
331,025103000,0,0,0
332,025134000,0,0,0
333,025204000,0,0,0
334,025235000,0,0,0
335,025306000,0,0,0
336,025336000,0,0,0
337,025407000,0,0,0
338,025437000,0,0,0
339,025508000,0,0,0
340,025538000,1,1,57
341,025609000,0,0,0
342,025639000,0,0,0
343,025709000,0,0,0
344,025739000,0,0,0
345,025810000,0,0,0
346,025840000,0,0,0
347,025910000,0,0,0
348,025941000,0,0,0
349,030011000,0,0,0
350,030041000,0,0,0
351,030111000,0,0,0
352,030142000,0,0,0
353,030212000,1,1,57
354,030242000,0,0,0
355,030313000,0,0,0
356,030344000,0,0,0
357,030414000,0,0,0
358,030445000,0,0,0
359,030515000,0,0,0
360,030545000,0,0,0
361,030615000,0,0,0
362,030646000,0,0,0
363,030716000,0,0,0
364,030746000,0,0,0
365,030817000,0,0,0
366,030847000,1,1,57
367,030918000,0,0,0
368,030948000,0,0,0
369,031019000,1,1,57
370,031049000,0,0,0
371,031120000,0,0,0
372,031151000,0,0,0
373,031221000,0,0,0
374,031251000,0,0,0
375,031322000,0,0,0
