,detectorId,dotId,onStreetName,onDirection,atCrossStreet,onLongitude,onLatitude
338,MR367S003.2E,MR367S003.2E,Hwy 367,South,NO I-270 Mainline (MR367S003.2E),-90.2389679,38.77383041
339,MI044E257.7U,MI044E257.7U,I44,East,Pacific (MI044E257.7U),-90.754896,38.4846
340,MI044E259.0U,MI044E259.0U,I44,East,EO Pacific (MI044E259.0U),-90.7250061,38.49603272
341,MI044E260.5U,MI044E260.5U,I44,East,WO Six Flags (MI044E260.5U),-90.70023346,38.50235367
342,MI044E262.0U,MI044E262.0U,I44,East,Six Flags (MI044E262.0U),-90.67353058,38.50520706
343,MI044E262.0V,MI044E262.0V,I44,East,Six Flags (MI044E262.0V),-90.67353058,38.50520706
344,MI044E263.4U,MI044E263.4U,I44,East,EO Six Flags (MI044E263.4U),-90.64732361,38.50379944
345,MI044E265.0U,MI044E265.0U,I44,East,Rte 109 (MI044E265.0U),-90.61911011,38.50596619
346,MI044E266.2U,MI044E266.2U,I44,East,WO Lewis Rd (MI044E266.2U),-90.59697723,38.50260162
347,MI044E267.5U,MI044E267.5U,I44,East,EO Lewis Rd (MI044E267.5U),-90.57302094,38.50756073
348,MI044E268.9U,MI044E268.9U,I44,East,Antire Rd (MI044E268.9U),-90.55088806,38.51460648
349,MI044E270.5U,MI044E270.5U,I44,East,EO Antire Rd (MI044E270.5U),-90.53245544,38.52848053
350,MI044E271.8U,MI044E271.8U,I44,East,WO Meramec Station Rd - WO 141 (MI044E271.8U),-90.51000977,38.53707886
351,MI044E273.4U,MI044E273.4U,I44,East,EO Rte 141 (MI044E273.4U),-90.48348999,38.53932953
352,MI044E274.6U,MI044E274.6U,I44,East,EO Bowles Ave (MI044E274.6U),-90.46167755,38.54317856
353,MI044E275.6U,MI044E275.6U,I44,East,WO I-270 (MI044E275.6U),-90.44116211,38.5424614
354,MI044E277.3U,MI044E277.3U,I44,East,EO I-270 (MI044E277.3U),-90.41678619,38.55480957
355,MI044E277.3V,MI044E277.3V,I44,East,EO I-270 (MI044E277.3V),-90.41678619,38.55480957
356,MI044E278.5U,MI044E278.5U,I44,East,WO Big Bend Blvd (MI044E278.5U),-90.39720917,38.56292725
357,MI044E279.6U,MI044E279.6U,I44,East,EO Sappington Rd Overpass (MI044E279.6U),-90.38391113,38.57459259
358,MI044E280.8U,MI044E280.8U,I44,East,WO Elm Ave (MI044E280.8U),-90.36231995,38.58004761
359,MI044E280.8V,MI044E280.8V,I44,East,WO Elm Ave (MI044E280.8V),-90.36231995,38.58004761
360,MI044E282.0U,MI044E282.0U,I44,East,WO Murdoch Ave (MI044E282.0U),-90.34191132,38.58672714
361,MI044E283.3U,MI044E283.3U,I44,East,EO Shrewsbury Ave (MI044E283.3U),-90.3217926,38.59555054
362,MI044E284.6U,MI044E284.6U,I44,East,Arsenal St (MI044E284.6U),-90.30438232,38.60876846
363,MI044E285.8U,MI044E285.8U,I44,East,Hampton Ave (MI044E285.8U),-90.28772736,38.61896896
364,MI044E287.1U,MI044E287.1U,I44,East,Kingshighway Blvd (MI044E287.1U),-90.26431274,38.61872864
365,MI044E287.1V,MI044E287.1V,I44,East,Kingshighway Blvd (MI044E287.1V),-90.26431274,38.61872864
366,MI044E288.2U,MI044E288.2U,I44,East,WO Grand Blvd (MI044E288.2U),-90.2431488,38.61727142
367,MI044E288.2V,MI044E288.2V,I44,East,WO Grand Blvd (MI044E288.2V),-90.2431488,38.61727142
368,MI044E289.5U,MI044E289.5U,I44,East,Jefferson Ave (MI044E289.5U),-90.22040558,38.61383057
369,MI044W257.7U,MI044W257.7U,I44,West,Pacific (MI044W257.7U),-90.754896,38.4846
370,MI044W259.0U,MI044W259.0U,I44,West,EO Pacific (MI044W259.0U),-90.7250061,38.49603272
371,MI044W260.5U,MI044W260.5U,I44,West,WO Six Flags (MI044W260.5U),-90.70023346,38.50235367
372,MI044W262.0U,MI044W262.0U,I44,West,Six Flags (MI044W262.0U),-90.67353058,38.50520706
373,MI044W262.0V,MI044W262.0V,I44,West,Six Flags (MI044W262.0V),-90.67353058,38.50520706
374,MI044W263.4U,MI044W263.4U,I44,West,EO Six Flags (MI044W263.4U),-90.64732361,38.50379944
375,MI044W265.0U,MI044W265.0U,I44,West,Rte 109 (MI044W265.0U),-90.61911011,38.50596619
376,MI044W265.0V,MI044W265.0V,I44,West,Rte 109 (MI044W265.0V),-90.61911011,38.50596619
